'Time';'Channel';'PU';'Read';'Write'
91.6029;0;6;25
91.626;0;7;26
91.8343;0;0;;32
92.0223;0;1;;24
92.2069;0;2;;24
92.3988;0;3;;24
92.5688;0;4;;24
92.7427;0;5;;24
92.9127;0;6;;24
93.0808;0;7;;24
93.2706;1;0;;24
93.4544;1;1;;24
93.6447;1;2;;24
93.8325;1;3;;24
94.0139;1;4;;24
94.1975;1;5;;24
94.3678;1;6;;24
94.5342;1;7;;24
94.7154;2;0;;24
94.9008;2;1;;24
95.0966;2;2;;24
95.2858;2;3;;24
95.4602;2;4;;24
95.637;2;5;;24
95.818;2;6;;24
95.9919;2;7;;24
96.1819;3;0;;24
96.3687;3;1;;24
96.5499;3;2;;24
96.7426;3;3;;32
96.925;3;4;;24
97.0908;3;5;;24
97.2732;3;6;;32
97.4492;3;7;;24
99.9286;0;0;25
99.9544;0;1;25
99.9545;0;2;26
99.9771;0;3;27
99.9772;0;4;25
99.9985;0;5;25
99.9986;0;6;26
100.019;0;7;26
100.217;0;0;;24
100.409;0;1;;24
100.609;0;2;;24
100.817;0;3;;24
100.99;0;4;;24
101.161;0;5;;24
101.33;0;6;;24
101.504;0;7;;24
101.681;1;0;;24
101.882;1;1;;32
102.08;1;2;;24
102.275;1;3;;24
102.46;1;4;;24
102.633;1;5;;24
102.809;1;6;;24
102.985;1;7;;24
103.174;2;0;;24
103.359;2;1;;24
103.547;2;2;;32
103.757;2;3;;24
103.935;2;4;;24
104.103;2;5;;24
104.292;2;6;;32
104.477;2;7;;24
104.662;3;0;;24
104.851;3;1;;24
105.04;3;2;;24
105.242;3;3;;24
105.432;3;4;;24
105.61;3;5;;24
105.781;3;6;;24
105.959;3;7;;24
108.413;0;0;26
108.437;0;1;27
108.437;0;2;25
108.459;0;3;24
108.459;0;4;28
108.481;0;5;23
108.481;0;6;25
108.504;0;7;26
108.71;0;0;;24
108.924;0;1;;24
109.13;0;2;;24
109.326;0;3;;24
109.515;0;4;;24
109.673;0;5;;24
109.844;0;6;;24
110.022;0;7;;24
110.216;1;0;;24
110.425;1;1;;24
110.622;1;2;;24
110.815;1;3;;24
110.996;1;4;;24
111.178;1;5;;32
111.352;1;6;;24
111.536;1;7;;24
111.734;2;0;;24
111.928;2;1;;24
112.125;2;2;;24
112.327;2;3;;24
112.509;2;4;;24
112.688;2;5;;24
112.865;2;6;;24
113.051;2;7;;24
113.248;3;0;;24
113.45;3;1;;24
113.647;3;2;;24
113.838;3;3;;24
114.03;3;4;;24
114.213;3;5;;24
114.387;3;6;;24
114.564;3;7;;24
117.021;0;0;26
117.044;0;1;25
117.044;0;2;25
117.066;0;3;25
117.066;0;4;27
117.088;0;5;26
117.088;0;6;24
117.109;0;7;25
117.324;0;0;;24
117.533;0;1;;24
117.747;0;2;;24
117.953;0;3;;24
118.138;0;4;;24
118.319;0;5;;24
118.492;0;6;;32
118.666;0;7;;24
118.877;1;0;;32
119.082;1;1;;24
119.279;1;2;;24
119.487;1;3;;32
119.674;1;4;;24
119.875;1;5;;24
120.058;1;6;;24
120.238;1;7;;24
120.444;2;0;;32
120.642;2;1;;24
120.844;2;2;;24
121.049;2;3;;24
121.246;2;4;;24
121.439;2;5;;24
121.625;2;6;;24
121.813;2;7;;24
122.01;3;0;;24
122.224;3;1;;32
122.421;3;2;;24
122.632;3;3;;24
122.817;3;4;;24
123.011;3;5;;32
123.197;3;6;;24
123.387;3;7;;32
125.894;0;0;25
125.92;0;1;25
125.92;0;2;25
125.941;0;3;26
125.941;0;4;25
125.963;0;5;26
125.964;0;6;25
125.985;0;7;26
126.201;0;0;;24
126.417;0;1;;24
126.631;0;2;;24
126.859;0;3;;24
127.048;0;4;;32
127.235;0;5;;24
127.415;0;6;;24
127.604;0;7;;32
127.816;1;0;;24
128.027;1;1;;24
128.237;1;2;;32
128.445;1;3;;24
128.654;1;4;;32
128.864;1;5;;24
129.05;1;6;;24
129.254;1;7;;32
129.46;2;0;;24
129.673;2;1;;32
129.873;2;2;;24
130.086;2;3;;32
130.285;2;4;;24
130.494;2;5;;32
130.691;2;6;;24
130.9;2;7;;24
131.102;3;0;;24
131.317;3;1;;24
131.535;3;2;;24
131.738;3;3;;24
131.95;3;4;;32
132.155;3;5;;24
132.365;3;6;;24
132.555;3;7;;16
135.021;0;0;26
135.045;0;1;24
135.045;0;2;27
135.067;0;3;24
135.068;0;4;24
135.089;0;5;25
135.089;0;6;26
135.112;0;7;26
135.35;0;0;;24
135.561;0;1;;24
135.798;0;2;;24
136.007;0;3;;24
136.193;0;4;;24
136.377;0;5;;24
136.567;0;6;;24
136.758;0;7;;24
136.961;1;0;;24
137.183;1;1;;24
137.393;1;2;;24
137.611;1;3;;24
137.826;1;4;;24
138.035;1;5;;24
138.248;1;6;;24
138.46;1;7;;24
138.671;2;0;;24
138.88;2;1;;24
139.104;2;2;;24
139.309;2;3;;24
139.522;2;4;;24
139.738;2;5;;24
139.951;2;6;;24
140.158;2;7;;24
140.393;3;0;;32
140.603;3;1;;24
140.803;3;2;;24
141.01;3;3;;24
141.225;3;4;;24
141.435;3;5;;24
141.651;3;6;;24
141.862;3;7;;24
144.805;0;0;27
144.827;0;1;25
144.827;0;2;24
144.85;0;3;24
144.85;0;4;23
144.872;0;5;27
144.872;0;6;26
144.893;0;7;24
145.126;0;0;;32
145.345;0;1;;24
145.563;0;2;;24
145.785;0;3;;24
145.961;0;4;;24
146.158;0;5;;24
146.347;0;6;;24
146.521;0;7;;24
146.739;1;0;;24
146.943;1;1;;24
147.163;1;2;;24
147.363;1;3;;24
147.587;1;4;;24
147.798;1;5;;24
148.005;1;6;;24
148.212;1;7;;24
148.43;2;0;;24
148.632;2;1;;24
148.85;2;2;;24
149.048;2;3;;24
149.26;2;4;;24
149.491;2;5;;24
149.693;2;6;;24
149.898;2;7;;24
150.114;3;0;;24
150.318;3;1;;24
150.527;3;2;;24
150.739;3;3;;24
150.952;3;4;;24
151.168;3;5;;24
151.377;3;6;;24
151.589;3;7;;32
154.057;0;0;26
154.078;0;1;25
154.078;0;2;25
154.099;0;3;26
154.099;0;4;25
154.119;0;5;26
154.119;0;6;24
154.141;0;7;25
154.366;0;0;;24
154.588;0;1;;24
154.808;0;2;;24
155.036;0;3;;24
155.219;0;4;;24
155.411;0;5;;24
155.593;0;6;;24
155.775;0;7;;24
155.985;1;0;;24
156.206;1;1;;24
156.412;1;2;;24
156.62;1;3;;24
156.825;1;4;;24
157.042;1;5;;24
157.271;1;6;;32
157.47;1;7;;24
157.668;2;0;;24
157.883;2;1;;24
158.109;2;2;;32
158.307;2;3;;16
158.526;2;4;;24
158.738;2;5;;24
158.94;2;6;;24
159.151;2;7;;32
159.365;3;0;;24
159.577;3;1;;24
159.781;3;2;;24
159.979;3;3;;24
160.174;3;4;;24
160.385;3;5;;24
160.595;3;6;;24
160.811;3;7;;24
163.28;0;0;25
163.302;0;1;25
163.302;0;2;25
163.324;0;3;26
163.324;0;4;25
163.345;0;5;26
163.346;0;6;24
163.367;0;7;26
163.585;0;0;;24
163.807;0;1;;32
164.02;0;2;;24
164.249;0;3;;32
164.43;0;4;;24
164.619;0;5;;32
164.793;0;6;;24
164.982;0;7;;24
165.196;1;0;;24
165.408;1;1;;32
165.624;1;2;;24
165.825;1;3;;24
166.012;1;4;;24
166.223;1;5;;32
166.43;1;6;;24
166.639;1;7;;24
166.847;2;0;;24
167.062;2;1;;24
167.269;2;2;;24
167.472;2;3;;24
167.683;2;4;;32
167.889;2;5;;24
168.09;2;6;;24
168.288;2;7;;24
168.509;3;0;;24
168.726;3;1;;24
168.923;3;2;;24
169.129;3;3;;24
169.335;3;4;;24
169.54;3;5;;24
169.742;3;6;;24
169.942;3;7;;24
